Block,Plot,Size,Alliaria_petiolata,Asclepias_syriaca,Asclepias_tuberosa,Barbarea_vulgaris,Berteroa_incana,Boehmeria_cylindrica,Bromus_inermis,Calystegia_sepium,Cerastium_fontanum,Chenopodium_album,Cirsium_arvense,Cirsium_vulgare,Coreopsis_lanceolata,Coreopsis_tripteris,Dactylis_glomerata,Daucus_carota,Desmodium_illinoense,Dianthus_armeria,Elymus_repens,Epilobium_coloratum,Erigeron_annuus,Erigeron_philadelphicus,Euthamia_graminifolia,Festuca_rubra,Galium_aparine,Hieracium_caespitosum,Hypericum_perforatum,Lactuca_serriola,Leonurus_cardiaca,Leucanthemum_vulgare,Linaria_vulgaris,Medicago_lupulina,Melilotus_albus,Monarda_fistulosa,Monarda_punctata,Oenothera_biennis,Oxalis_stricta,Panicum_capillare,Parthenocissus_quinquefolia,Phleum_pratense,Phragmites_australis,Plantago_lanceolata,Plantago_major,Potentilla_recta,Ratibida_pinnata,Rudbeckia_hirta,Scrophularia_lanceolata,Setaria_viridis,Silene_latifolia,Silene_vulgaris,Solanum_dulcamara,Solidago_canadensis,Solidago_nemoralis,Solidago_rigida,Sonchus_arvensis,Sonchus_oleraceous,Sonchus_oleraceus,Stellaria_media,Symphyothricum_latiflorium,Symphyotrichum_ericoides,Symphyotrichum_lanceolatum,Symphyotrichum_novae_angliae,Taraxacum_officinale,Tragopogon_dubius,Verbascum_thapsus,Verbena_stricta,Veronica_arvensis
7,4,2,0,14,0,0,0,0,160,56,0,0,2,0,0,0,0,49,0,0,0,0,0,0,0,48,25,0,0,0,0,0,0,17,0,149,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,79,0,0,0,0,44,0,0,13,8,5,0,0,0,22
8,1,2,0,2,0,0,1,0,128,50,0,0,0,0,0,0,0,4,40,0,0,0,0,0,0,960,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,42,1,0,0,0,3,0,1,0,8,1,0,0,0,0
8,2,2,0,2,0,0,0,0,32,0,0,0,0,0,0,17,0,7,0,0,0,0,0,0,1,960,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,147,29,0,0,0,1,0,0,0,0,6,5,0,0,0,0
8,3,2,0,1,0,0,0,0,16,33,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,960,0,0,0,0,0,0,0,2,0,115,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,30,3,0,0,0,0,0,0,0,13,0,0,0,0,0
8,4,2,0,2,0,0,0,0,160,0,0,0,0,0,0,25,0,0,3,0,0,0,0,0,0,960,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,95,22,2,0,0,0,0,0,0,0,0,1,0,0,0,0
9,1,2,0,1,0,0,0,0,320,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,960,0,0,0,0,0,0,8,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0
9,2,2,0,1,2,0,0,0,16,0,0,0,2,0,0,1,0,4,1,0,0,0,0,0,0,960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3,2,0,4,8,1,50,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,480,0,0,2,0,0,0,0,1,0,63,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,0,0,9,0,0,0,0,3,0,0,0,3
9,4,2,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,31,3,0,0,0,0,0,0,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,135,39,0,2,0,3,0,0,1,0,0,0,0,0,0,0
10,1,2,0,0,0,0,0,0,240,0,0,0,0,1,0,0,0,56,17,0,0,0,0,0,0,960,0,3,0,0,0,2,19,0,0,46,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,36,3,0,0,0,1,0,37,0,7,1,0,0,0,0
10,2,2,0,0,3,0,1,0,80,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,960,0,0,0,0,0,0,4,3,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,73,13,0,0,0,0,2,0,0,0,0,0,0,0,0,0
10,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,21,0,0,0,0,0,0,8,0,2,0,0,0,0,0
10,4,2,0,3,0,0,0,0,80,0,0,0,0,0,0,4,0,10,6,0,0,0,0,0,0,960,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,31,29,3,0,0,0,0,0,0,0,0,2,0,0,0,2
11,1,2,0,4,0,0,0,0,16,27,0,0,0,0,0,10,0,18,12,0,0,0,0,0,0,960,0,0,0,0,0,0,0,7,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,87,0,0,0,0,0,0,0,0,0,1,0,0,0,2
11,2,2,0,0,0,0,0,0,16,0,0,0,0,0,4,13,0,5,9,0,0,0,0,0,0,960,0,0,0,0,0,0,0,6,0,0,0,0,0,128,0,0,0,0,0,0,2,0,0,0,0,0,0,15,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3,2,0,0,0,0,0,0,112,61,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,960,0,0,0,0,0,0,0,19,0,72,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,71,4,0,0,0,0,0,0,0,5,0,0,0,0,0
11,4,2,0,3,0,0,0,0,48,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960,0,0,0,0,0,0,0,2,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,51,7,0,0,0,0,0,0,0,0,0,0,1,0,0
12,1,2,0,8,0,0,12,0,160,0,0,0,2,0,0,0,0,33,37,21,0,26,0,0,3,144,0,0,4,0,0,9,0,25,0,76,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,45,1,0,0,0,0,0,0,0,13,0,0,0,8,0
12,2,2,0,4,0,1,0,0,16,0,0,0,2,1,0,2,0,33,5,0,0,0,0,2,3,720,0,0,13,0,0,0,5,7,0,9,0,0,14,0,0,0,0,0,0,0,5,0,0,0,0,0,0,36,47,1,0,0,0,1,0,55,0,4,2,0,8,5,0
12,3,2,0,4,0,0,0,0,8,13,0,0,3,0,0,0,0,47,18,3,0,2,0,0,0,336,0,3,0,0,0,0,15,49,0,97,0,0,0,64,0,0,0,3,1,0,0,27,0,0,0,0,0,58,50,0,0,0,0,5,0,0,0,29,3,2,0,0,2
12,4,2,0,4,0,0,0,0,80,0,0,0,0,0,0,12,0,5,0,0,0,0,0,0,0,960,0,0,0,0,0,0,0,31,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,37,85,5,5,0,0,0,0,0,0,32,0,0,0,0,0
13,1,2,0,4,1,0,0,0,16,0,0,0,0,0,0,0,0,94,6,0,96,0,0,0,0,720,0,6,0,0,0,0,8,26,0,25,0,0,0,0,0,0,0,5,0,0,7,0,0,0,0,0,0,51,82,1,0,0,0,18,0,0,0,10,1,0,0,0,0
13,2,2,0,4,0,0,11,0,80,0,0,0,0,0,0,0,0,124,0,0,640,0,0,0,0,720,0,0,0,0,0,0,6,21,0,175,0,0,0,0,0,0,0,1,0,0,8,5,0,0,0,0,0,12,116,1,0,0,0,0,0,0,0,14,3,0,0,6,1
13,3,2,0,4,0,0,0,0,80,0,0,0,0,0,0,1,16,1,3,0,64,3,0,0,0,720,0,0,0,0,0,0,22,0,0,65,0,0,0,0,0,0,0,2,0,1,5,6,0,0,0,0,0,15,74,2,0,0,0,0,0,0,0,8,1,0,0,0,0
13,4,2,0,0,0,1,2,2,0,0,0,0,0,0,0,1,80,92,3,0,160,0,0,0,0,720,0,0,1,0,0,0,62,9,0,18,0,0,3,320,0,0,0,0,0,0,9,3,0,0,0,0,0,66,12,3,0,0,0,0,0,0,0,0,1,0,0,0,0
14,1,2,0,8,0,0,0,0,0,0,0,0,0,0,0,34,0,8,0,0,480,0,0,0,2,480,0,0,0,0,0,0,1,41,0,2,0,0,118,0,0,0,0,0,0,0,4,1,0,0,0,1,0,8,156,0,0,0,0,0,0,3,0,2,2,0,0,0,0
14,2,2,0,0,0,0,0,0,80,43,0,0,0,0,1,0,0,14,20,0,480,0,1,0,0,720,0,0,0,0,0,0,0,1,0,167,0,0,1,0,0,0,0,6,0,5,4,0,0,0,0,0,0,6,23,0,0,0,0,0,0,0,0,3,2,0,0,0,0
14,3,2,0,4,0,0,0,0,80,0,0,0,0,0,0,47,0,43,3,0,160,3,0,0,0,720,0,0,0,0,0,0,37,33,0,6,3,0,0,0,0,0,0,1,0,0,36,0,0,0,0,0,0,3,62,0,1,0,0,0,0,0,0,0,8,0,0,0,2
14,4,2,0,4,0,2,0,0,64,0,0,0,0,0,0,0,0,57,4,0,480,0,0,0,0,480,0,19,18,0,0,0,20,5,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,31,1,0,0,0,2,0,0,0,31,2,0,0,0,0
10,2,3,0,0,0,1,0,0,400,0,0,0,0,0,0,0,0,15,23,0,0,0,0,0,0,720,0,0,0,0,0,0,0,14,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0
