Block,Size,Plot,Species,ID,Area (cm2),Time 1,Dry Mass (g),SLA 1,Area (cm2),Time 2,Dry Mass (g),SLA 2,Area (cm2),Time 3,Dry Mass (g),SLA 3
1,2,2,Stellaria media,O,0.25,06-Jun,0.001,250,,15-Jul,,#DIV/0!,,08-Aug,,#DIV/0!
1,2,2,Symphyotrichum ericoides,O,1.79,06-Jun,0.011,162.7272727,,15-Jul,,#DIV/0!,,08-Aug,,#DIV/0!
1,2,2,Taraxacum officinale,B,6.57,06-Jun,0.02,328.5,2.26,15-Jul,0.005,452,,08-Aug,,#DIV/0!
1,2,2,Taraxacum officinale,BO,2.71,06-Jun,0.009,301.1111111,16.34,15-Jul,0.029,563.4482759,7.57,08-Aug,0.0304,249.0131579
1,2,2,Taraxacum officinale,O,11.54,06-Jun,0.037,311.8918919,1.91,15-Jul,0.006,318.3333333,1.93,08-Aug,0.0074,260.8108108
1,2,2,Veronica arvensis,BO,0.16,06-Jun,0.001,160,,15-Jul,,#DIV/0!,,08-Aug,,#DIV/0!
1,2,2,Veronica arvensis,B,0.27,06-Jun,0.001,270,,15-Jul,,#DIV/0!,,08-Aug,,#DIV/0!
1,2,2,Veronica arvensis,O,,06-Jun,,#DIV/0!,0.04,15-Jul,0.001,40,,08-Aug,,#DIV/0!
1,2,4,Barbarea vulgaris,BO,0.63,06-Jun,0.001,630,0.69,15-Jul,0.001,690,,08-Aug,,#DIV/0!
1,2,4,Barbarea vulgaris,O,0.34,06-Jun,0.001,340,0.82,15-Jul,0.001,820,,08-Aug,,#DIV/0!
1,2,4,Barbarea vulgaris,B,0.35,06-Jun,0.001,350,0.36,15-Jul,0.001,360,,08-Aug,,#DIV/0!
1,2,4,Bromus inermis,B,23.18,06-Jun,0.136,170.4411765,19.41,15-Jul,0.128,151.640625,15.74,08-Aug,0.1042,151.0556622
1,2,4,Bromus inermis,O,14.37,06-Jun,0.071,202.3943662,5.1,15-Jul,0.021,242.8571429,11.3,08-Aug,0.0697,162.1233859
1,2,4,Bromus inermis,BO,22.45,06-Jun,0.136,165.0735294,14.4,15-Jul,0.09,160,19.91,08-Aug,0.1278,155.7902973
1,2,4,Euthamia graminifolia,B,3.12,06-Jun,0.015,208,,15-Jul,,#DIV/0!,,08-Aug,,#DIV/0!
1,2,4,Euthamia graminifolia,BO,2.28,06-Jun,0.09,25.33333333,1.92,15-Jul,0.011,174.5454545,1.87,08-Aug,0.0124,150.8064516
1,2,4,Euthamia graminifolia,O,1.54,06-Jun,0.005,308,2.5,15-Jul,0.014,178.5714286,2.01,08-Aug,0.0128,157.03125
1,2,4,Festuca rubra,O,0.43,06-Jun,0.001,430,2.43,15-Jul,0.011,220.9090909,1.56,08-Aug,0.009,173.3333333
1,2,4,Festuca rubra,B,0.23,06-Jun,0.001,230,0.65,15-Jul,0.006,108.3333333,0.71,08-Aug,0.005,142
1,2,4,Festuca rubra,BO,0.46,06-Jun,0.001,460,0.98,15-Jul,0.007,140,,08-Aug,,#DIV/0!
1,2,4,Linaria vulgaris,O,0.53,06-Jun,0.001,530,,15-Jul,,#DIV/0!,,08-Aug,,#DIV/0!
1,2,4,Linaria vulgaris,B,0.24,06-Jun,0.001,240,0.27,15-Jul,0.001,270,0.31,08-Aug,0.0013,238.4615385
1,2,4,Linaria vulgaris,BO,0.28,06-Jun,0.001,280,0.4,15-Jul,0.001,400,0.35,08-Aug,0.0017,205.8823529
1,2,4,Monarda fistulosa,BO,7.44,06-Jun,0.038,195.7894737,8.25,15-Jul,0.051,161.7647059,12.61,08-Aug,0.0792,159.2171717
1,2,4,Monarda fistulosa,O,7.32,06-Jun,0.03,244,2,15-Jul,0.01,200,11.8,08-Aug,0.0669,176.3826607
1,2,4,Monarda fistulosa,B,5.7,06-Jun,0.025,228,8.44,15-Jul,0.051,165.4901961,11.19,08-Aug,0.0505,221.5841584
1,2,4,Solidago canadensis,OOO,3.28,06-Jun,0.015,218.6666667,9.22,15-Jul,0.066,139.6969697,10.8,08-Aug,0.0719,150.2086231
1,2,4,Solidago canadensis,O,21.68,06-Jun,0.133,163.0075188,6.61,15-Jul,0.053,124.7169811,9.39,08-Aug,0.0862,108.9327146
1,2,4,Solidago canadensis,OO,10.05,06-Jun,0.053,189.6226415,5.27,15-Jul,0.043,122.5581395,14,08-Aug,0.0922,151.8438178
1,2,4,Symphyotrichum novae-angliae,BO,6.36,06-Jun,0.03,212,12.21,15-Jul,0.076,160.6578947,3.58,08-Aug,0.0192,186.4583333
1,2,4,Symphyotrichum novae-angliae,O,4.58,06-Jun,0.015,305.3333333,6.88,15-Jul,0.03,229.3333333,4.87,08-Aug,0.0235,207.2340426
1,2,4,Symphyotrichum novae-angliae,B,6.44,06-Jun,0.023,280,7.98,15-Jul,0.051,156.4705882,9.83,08-Aug,0.0478,205.6485356
2,0.5,1,Bromus inermis,B,20.37,06-Jun,0.119,171.1764706,18.71,15-Jul,0.1227,152.4857376,13.71,08-Aug,0.0926,148.0561555
2,0.5,1,Bromus inermis,BO,26.91,06-Jun,0.128,210.234375,22.62,15-Jul,0.1151,196.5247611,18.98,08-Aug,0.1021,185.8961802
2,0.5,1,Bromus inermis,O,28.94,06-Jun,0.156,185.5128205,26.94,15-Jul,0.1612,167.1215881,14.77,08-Aug,0.0902,163.7472284
2,0.5,1,Festuca rubra,B,0.93,06-Jun,0.001,930,0.41,15-Jul,0.0072,56.94444444,0.57,08-Aug,0.0065,87.69230769
2,0.5,1,Festuca rubra,O,0.57,06-Jun,0.001,570,0.52,15-Jul,0.0055,94.54545455,2.24,08-Aug,0.0114,196.4912281
2,0.5,1,Festuca rubra,BO,0.33,06-Jun,0.001,330,0.73,15-Jul,0.005,146,0.61,08-Aug,0.0076,80.26315789
2,0.5,1,Monarda fistulosa,BO,14.36,06-Jun,0.064,224.375,6.14,15-Jul,0.0456,134.6491228,9.28,08-Aug,0.0763,121.6251638
2,0.5,1,Monarda fistulosa,O,10.48,06-Jun,0.033,317.5757576,7.08,15-Jul,0.0345,205.2173913,12.16,08-Aug,0.0622,195.4983923
2,0.5,1,Monarda fistulosa,B,12.12,06-Jun,0.047,257.8723404,9.68,15-Jul,0.0582,166.3230241,11,08-Aug,0.0682,161.2903226
2,0.5,1,Solidago canadensis,BO,11.59,06-Jun,0.061,190,2.6,15-Jul,0.0157,165.6050955,2.82,08-Aug,0.0226,124.7787611
2,0.5,1,Solidago canadensis,O,7.54,06-Jun,0.031,243.2258065,2.11,15-Jul,0.0156,135.2564103,7.73,08-Aug,0.0474,163.0801688
2,0.5,1,Solidago canadensis,B,5.58,06-Jun,0.024,232.5,3.41,15-Jul,0.0193,176.6839378,2.21,08-Aug,0.0129,171.3178295
2,0.5,1,Sonchus oleraceous,B,48.21,06-Jun,0.061,790.3278689,59.51,15-Jul,0.2628,226.4459665,26.01,08-Aug,0.1478,175.9810555
2,0.5,1,Taraxacum officinale,B,4.5,06-Jun,0.012,375,11.22,15-Jul,0.0197,569.5431472,,08-Aug,,#DIV/0!
2,0.5,3,Daucus carota,O,0.47,06-Jun,0.001,470,0.39,15-Jul,0.0013,300,,08-Aug,,#DIV/0!
2,0.5,3,Daucus carota,B,3.27,06-Jun,0.015,218,19.51,15-Jul,0.1401,139.2576731,43.49,08-Aug,0.2826,153.8924275
2,0.5,3,Festuca rubra,O,1.17,06-Jun,0.011,106.3636364,,15-Jul,,#DIV/0!,,08-Aug,,#DIV/0!
2,0.5,3,Festuca rubra,BO,2.45,06-Jun,0.019,128.9473684,5.09,15-Jul,0.063,80.79365079,1.56,08-Aug,0.0182,85.71428571
2,0.5,3,Festuca rubra,B,0.46,06-Jun,0.001,460,,15-Jul,,#DIV/0!,,08-Aug,,#DIV/0!
2,0.5,3,Monarda fistulosa,O,9.43,06-Jun,0.033,285.7575758,6.87,15-Jul,0.0403,170.471464,3.82,08-Aug,0.0246,155.2845528
2,0.5,3,Monarda fistulosa,BO,10.82,06-Jun,0.049,220.8163265,8.03,15-Jul,0.0472,170.1271186,6.87,08-Aug,0.0388,177.0618557
2,0.5,3,Monarda fistulosa,B,14.65,06-Jun,0.072,203.4722222,18.21,15-Jul,0.0747,243.7751004,5.72,08-Aug,0.0343,166.7638484
2,0.5,3,Solidago canadensis,O,11.77,06-Jun,0.08,147.125,5.44,15-Jul,0.0263,206.8441065,5.23,08-Aug,0.0281,186.1209964
2,0.5,3,Solidago canadensis,BO,7.23,06-Jun,0.037,195.4054054,18.21,15-Jul,0.1563,116.5067179,16.78,08-Aug,0.1523,110.1772817
2,0.5,3,Solidago canadensis,B,13.37,06-Jun,0.067,199.5522388,3.63,15-Jul,0.0194,187.1134021,5.21,08-Aug,0.04,130.25
2,2,2,Alliaria petiolata,BO,2.26,06-Jun,0.001,2260,1.46,15-Jul,0.0033,442.4242424,0.77,08-Aug,0.0017,452.9411765
2,2,2,Alliaria petiolata,B,1.31,06-Jun,0.001,1310,1.48,15-Jul,0.0021,704.7619048,0.68,08-Aug,0.0026,261.5384615
2,2,2,Alliaria petiolata,O,0.76,06-Jun,0.001,760,3.31,15-Jul,0.0075,441.3333333,1.12,08-Aug,0.0032,350
2,2,2,Berteroa incana,B,3.04,06-Jun,0.008,380,,15-Jul,,#DIV/0!,,08-Aug,,#DIV/0!
2,2,2,Berteroa incana,BO,1.28,06-Jun,0.001,1280,,15-Jul,,#DIV/0!,,08-Aug,,#DIV/0!
2,2,2,Bromus inermis,BOO,5.4,,0.0258,209.3023256,,,,#DIV/0!,,,,#DIV/0!
2,2,2,Calystegia sepium,BO,3.13,06-Jun,0.011,284.5454545,,15-Jul,,#DIV/0!,,08-Aug,,#DIV/0!
2,2,2,Calystegia sepium,B,5.87,06-Jun,0.015,391.3333333,,15-Jul,,#DIV/0!,,08-Aug,,#DIV/0!
2,2,2,Calystegia sepium,BOO,5.81,06-Jun,0.016,363.125,13.49,15-Jul,0.0284,475,,08-Aug,,#DIV/0!
2,2,2,Daucus carota,B,20.4,06-Jun,0.054,377.7777778,6.21,15-Jul,,#DIV/0!,5.47,08-Aug,0.0264,207.1969697
2,2,2,Daucus carota,BOO,7.43,06-Jun,0.042,176.9047619,10.93,15-Jul,0.0731,149.5212038,,08-Aug,,#DIV/0!
2,2,2,Daucus carota,BO,9.85,06-Jun,0.047,209.5744681,1.73,15-Jul,0.0037,467.5675676,,08-Aug,,#DIV/0!
2,2,2,Festuca rubra,B,0.17,06-Jun,0.001,170,0.88,15-Jul,0.0176,50,5.11,08-Aug,0.0421,121.3776722
2,2,2,Festuca rubra,BO,1.33,06-Jun,0.005,266,,15-Jul,0.0142,0,0.25,08-Aug,0.0065,38.46153846
2,2,2,Festuca rubra,BOO,1.43,06-Jun,0.007,204.2857143,1.27,15-Jul,0.0323,39.31888545,1.35,08-Aug,0.0201,67.1641791
2,2,2,Galium aparine,BOO,0.27,06-Jun,0.001,270,,15-Jul,,#DIV/0!,,08-Aug,,#DIV/0!
2,2,2,Galium aparine,BO,0.16,06-Jun,0.001,160,,15-Jul,,#DIV/0!,,08-Aug,,#DIV/0!
2,2,2,Galium aparine,B,0.11,06-Jun,0.001,110,,15-Jul,,#DIV/0!,,08-Aug,,#DIV/0!
2,2,2,Hypericum perforatum,BOO,0.54,06-Jun,0.001,540,0.8,15-Jul,0.0013,615.3846154,0.71,08-Aug,0.0018,394.4444444
2,2,2,Hypericum perforatum,BO,0.53,06-Jun,0.001,530,0.46,15-Jul,0.0003,1533.333333,0.8,08-Aug,0.0014,571.4285714
2,2,2,Hypericum perforatum,B,1.61,06-Jun,0.001,1610,0.31,15-Jul,0.0007,442.8571429,0.55,08-Aug,0.003,183.3333333
2,2,2,Medicago lupulina,BOO,0.49,06-Jun,0.001,490,,15-Jul,,#DIV/0!,,08-Aug,,#DIV/0!
2,2,2,Medicago lupulina,BO,0.53,06-Jun,0.001,530,0.69,15-Jul,0.0014,492.8571429,0.62,08-Aug,0.0024,258.3333333
2,2,2,Medicago lupulina,B,1.31,06-Jun,0.001,1310,,15-Jul,,#DIV/0!,,08-Aug,,#DIV/0!
2,2,2,Monarda fistulosa,BOO,6.22,06-Jun,0.021,296.1904762,5.93,15-Jul,0.0301,197.0099668,6.36,08-Aug,0.0308,206.4935065
2,2,2,Monarda fistulosa,BO,6.21,06-Jun,0.023,270,4.84,15-Jul,0.0271,178.597786,7.78,08-Aug,0.0514,151.3618677
2,2,2,Monarda fistulosa,B,4.36,06-Jun,0.018,242.2222222,,15-Jul,,#DIV/0!,,08-Aug,,#DIV/0!
2,2,2,Solidago canadensis,B,10.65,06-Jun,0.05,213,11.17,15-Jul,0.023,485.6521739,3.64,08-Aug,0.0271,134.3173432
2,2,2,Solidago canadensis,BO,12.68,06-Jun,0.061,207.8688525,3.91,15-Jul,0.0205,190.7317073,,08-Aug,,#DIV/0!
2,2,2,Solidago canadensis,BOO,8.48,06-Jun,0.054,157.037037,7.48,15-Jul,0.0588,127.2108844,11.62,08-Aug,0.1089,106.7033976
2,2,2,Solidago nemoralis,B,3.48,06-Jun,0.015,232,4.7,15-Jul,0.0917,51.25408942,15.6,08-Aug,0.1277,122.1613156
2,2,2,Solidago nemoralis,BO,7.16,06-Jun,0.028,255.7142857,9.95,15-Jul,0.0437,227.6887872,4.95,08-Aug,0.0352,140.625
2,2,2,Solidago nemoralis,BOO,7.91,06-Jun,0.031,255.1612903,1.46,15-Jul,0.0063,231.7460317,6.71,08-Aug,0.0317,211.6719243
2,2,2,Sonchus oleraceous,B,,,,#DIV/0!,,15-Jul,0.0067,0,,,,#DIV/0!
2,2,2,Stellaria media,B,0.98,06-Jun,0.001,980,,15-Jul,,#DIV/0!,,08-Aug,,#DIV/0!
2,2,2,Symphyotrichum ericoides,BO,1.42,06-Jun,0.001,1420,2.78,15-Jul,0.0117,237.6068376,2.27,08-Aug,0.0104,218.2692308
2,2,2,Symphyotrichum ericoides,BOO,10.65,06-Jun,0.061,174.5901639,3.26,15-Jul,0.0187,174.3315508,5.03,08-Aug,0.0265,189.8113208
2,2,2,Symphyotrichum ericoides,B,3.35,06-Jun,0.016,209.375,3.55,15-Jul,0.0157,226.1146497,3.46,08-Aug,0.0217,159.4470046
2,2,2,Symphyotrichum novae-angliae,BO,10.94,06-Jun,0.054,202.5925926,5.73,15-Jul,0.0265,216.2264151,3.34,08-Aug,0.019,175.7894737
2,2,2,Symphyotrichum novae-angliae,B,9.78,06-Jun,0.046,212.6086957,15.07,15-Jul,0.0516,292.0542636,5.97,08-Aug,0.0223,267.7130045
2,2,2,Symphyotrichum novae-angliae,O,3.96,06-Jun,0.011,360,5.95,15-Jul,0.0189,314.8148148,7.42,08-Aug,0.0258,287.5968992
2,2,2,Taraxacum officinale,BO,3.51,06-Jun,0.006,585,1.7,15-Jul,0.0049,346.9387755,,08-Aug,,#DIV/0!
2,2,2,Taraxacum officinale,B,32.38,06-Jun,0.11,294.3636364,2.11,15-Jul,0.0051,413.7254902,5.26,08-Aug,0.0159,330.8176101
2,2,2,Taraxacum officinale,O,1.93,06-Jun,0.001,1930,,15-Jul,,#DIV/0!,,08-Aug,,#DIV/0!
2,2,2,Veronica arvensis,OO,0.19,06-Jun,0.001,190,,15-Jul,,#DIV/0!,,08-Aug,,#DIV/0!
2,2,2,Veronica arvensis,O,0.42,06-Jun,0.001,420,,15-Jul,,#DIV/0!,,08-Aug,,#DIV/0!
2,2,4,Asclepias syriaca,O,2.65,06-Jun,0.009,294.4444444,,15-Jul,,#DIV/0!,26.28,08-Aug,0.1681,156.3355146
2,2,4,Asclepias syriaca,BO,5.11,06-Jun,0.017,300.5882353,48.78,15-Jul,0.2706,180.2660754,60.3,08-Aug,0.3899,154.6550398
2,2,4,Bromus inermis,BOO,19.17,06-Jun,0.096,199.6875,10.85,15-Jul,0.0701,154.7788873,16.07,08-Aug,0.0723,222.2683264
2,2,4,Bromus inermis,B,19.07,06-Jun,0.11,173.3636364,22.09,15-Jul,0.1238,178.4329564,8.53,08-Aug,0.0682,125.0733138
2,2,4,Bromus inermis,BO,13.13,06-Jun,0.053,247.7358491,,15-Jul,,#DIV/0!,,08-Aug,,#DIV/0!
2,2,4,Calystegia sepium,O,2.17,06-Jun,0.006,361.6666667,11.19,15-Jul,0.0256,437.109375,,08-Aug,,#DIV/0!
2,2,4,Calystegia sepium,B,7.43,06-Jun,0.018,412.7777778,13.29,15-Jul,0.0533,249.3433396,14.2,08-Aug,0.0403,352.3573201
2,2,4,Calystegia sepium,BO,3.54,06-Jun,0.01,354,10.27,15-Jul,0.0185,555.1351351,9.59,08-Aug,0.0466,205.7939914
2,2,4,Coreopsis tripteris,O,21.28,06-Jun,0.139,153.0935252,25.36,15-Jul,0.0471,538.4288747,17.49,08-Aug,0.1792,97.60044643
2,2,4,Coreopsis tripteris,B,12,06-Jun,0.114,105.2631579,15.81,15-Jul,0.1536,102.9296875,16.04,08-Aug,0.1625,98.70769231
2,2,4,Coreopsis tripteris,BO,25.61,06-Jun,0.187,136.9518717,15.68,15-Jul,0.1421,110.3448276,13.24,08-Aug,0.1289,102.7152832
2,2,4,Festuca rubra,BOO,0.53,06-Jun,0.005,106,1.13,15-Jul,0.0153,73.85620915,,08-Aug,,#DIV/0!
2,2,4,Festuca rubra,BO,0.61,06-Jun,0.001,610,,15-Jul,,#DIV/0!,,08-Aug,,#DIV/0!
2,2,4,Festuca rubra,B,0.68,06-Jun,0.001,680,0.73,15-Jul,0.007,104.2857143,,08-Aug,,#DIV/0!
2,2,4,Linaria vulgaris,BOO,0.19,06-Jun,0.001,190,0.32,15-Jul,0.0018,177.7777778,,08-Aug,,#DIV/0!
2,2,4,Linaria vulgaris,B,0.42,06-Jun,0.001,420,0.42,15-Jul,0.0021,200,0.24,08-Aug,0.0002,1200
2,2,4,Linaria vulgaris,BO,0.33,06-Jun,0.001,330,0.28,15-Jul,0.0017,164.7058824,,08-Aug,,#DIV/0!
2,2,4,Medicago lupulina,B,0.8,06-Jun,0.001,800,0.11,15-Jul,0.0008,137.5,,08-Aug,,#DIV/0!
2,2,4,Monarda fistulosa,BO,1.31,06-Jun,0.001,1310,1.11,15-Jul,0.0036,308.3333333,3.94,08-Aug,0.0072,547.2222222
2,2,4,Monarda fistulosa,BOO,0.85,06-Jun,0.001,850,3.39,15-Jul,0.0065,521.5384615,1.81,08-Aug,0.0036,502.7777778
2,2,4,Monarda fistulosa,B,1.56,06-Jun,0.001,1560,3.22,15-Jul,0.0083,387.9518072,3.44,08-Aug,0.0091,378.021978
2,2,4,Parthenocissus quinquefolia,B,1.61,06-Jun,0.001,1610,,15-Jul,,#DIV/0!,,08-Aug,,#DIV/0!
2,2,4,Ratibida pinnata,O,31.42,06-Jun,0.146,215.2054795,7.27,15-Jul,0.0468,155.3418803,14.94,08-Aug,0.1076,138.8475836
2,2,4,Ratibida pinnata,BO,27.69,06-Jun,0.122,226.9672131,17.28,15-Jul,0.1621,106.6008637,89,08-Aug,0.7848,113.4046891
2,2,4,Ratibida pinnata,B,33.9,06-Jun,0.149,227.5167785,12.48,15-Jul,0.0998,125.0501002,14.39,08-Aug,0.1086,132.5046041
2,2,4,Solidago canadensis,BOO,6.1,06-Jun,0.034,179.4117647,5.21,15-Jul,0.0319,163.322884,3.54,08-Aug,0.0283,125.0883392
