Block,Plot,Size,Alliaria_petiolata,Asclepias_syriaca,Asclepias_tuberosa,Barbarea_vulgaris,Berteroa_incana,Boehmeria_cylindrica,Bromus_inermis,Calystegia_sepium,Cirsium_arvense,Cirsium_vulgare,Coreopsis_tripteris,Dactylis_glomerata,Daucus_carota,Desmodium_illinoense,Elymus_repens,Epilobium_coloratum,Euthamia_graminifolia,Festuca_rubra,Hieracium_caespitosum,Hypericum_perforatum,Leonurus_cardiaca,Linaria_vulgaris,Medicago_lupulina,Monarda_fistulosa,Monarda_punctata,Oenotheria_biennis,Oxalis_stricta,Plantago_lanceolata,Ratibida_pinnata,Rudbeckia_hirta,Silene_vulgaris,Solanum_dulcamara,Solidago_canadensis,Solidago_nemoralis,Solidago_rigida,Sonchus_arvensis,Stellaria_media,Symphyotrichum_novae_angliae,Taraxacum_officinale,Tragopogon_dubius,Verbascum_thapsus,Verbena_stricta
6,1,2,0.164893617,0.033687943,0,0,0,0,0,0.028368794,0.003546099,0.00177305,0,0,0.046099291,0,0,0,0,0.085106383,0,0,0,0,0.040780142,0,0,0,0.012411348,0,0.003546099,0,0,0,0.312056738,0.095744681,0,0,0,0,0.024822695,0,0,0
6,2,2,0.055187638,0,0,0.006622517,0,0,0,0,0,0,0,0,0.068432671,0,0,0,0,0.21192053,0,0,0,0.026490066,0,0.105960265,0,0,0.017660044,0,0.002207506,0,0.002207506,0,0.326710817,0.081677704,0,0,0,0.035320088,0.015452539,0,0,0
6,3,2,0,0.007042254,0,0,0,0,0,0.00528169,0.001760563,0,0,0,0.163732394,0.007042254,0,0,0,0.169014085,0,0,0,0.014084507,0.022887324,0,0,0,0.012323944,0,0.00528169,0,0,0,0.357394366,0.058098592,0,0.001760563,0.021126761,0,0.022887324,0,0,0
6,4,2,0,0,0,0.007974482,0.011164274,0,0,0.003189793,0,0.001594896,0,0,0.01754386,0.014354067,0,0,0,0.076555024,0.006379585,0,0,0.01754386,0.052631579,0.205741627,0,0,0.014354067,0,0,0,0.055821372,0,0.23923445,0.116427432,0,0.009569378,0.022328549,0.028708134,0.009569378,0,0,0.001594896
7,1,2,0,0.003241491,0,0,0,0,0.025931929,0.047001621,0,0,0,0,0.141004862,0,0,0,0,0.155591572,0,0,0.003241491,0.01458671,0,0,0,0,0.011345219,0,0.008103728,0,0,0,0.43273906,0.034035656,0,0,0.021069692,0,0.017828201,0,0,0
7,2,2,0,0.041733547,0,0,0.004815409,0,0,0.06741573,0,0,0,0,0.118780096,0.006420546,0,0,0,0.154093098,0,0,0,0.040128411,0,0.059390048,0,0,0.012841091,0,0,0,0,0,0.348314607,0.057784912,0,0,0,0,0.032102729,0,0,0
7,3,2,0,0.001267427,0,0.013941698,0,0,0,0.120405577,0,0,0,0,0.077313054,0.006337136,0,0,0,0.182509506,0,0,0,0,0.034220532,0.089987326,0,0,0.025348542,0.002534854,0,0,0,0,0.280101394,0.057034221,0,0,0.007604563,0.006337136,0.007604563,0,0,0
7,4,2,0,0.01686747,0,0,0,0,0.192771084,0.06746988,0.002409639,0,0,0,0.059036145,0,0,0,0,0.057831325,0,0,0,0,0.020481928,0.179518072,0,0.004819277,0.003614458,0,0,0,0,0,0.159036145,0.095180723,0,0,0.053012048,0.009638554,0.006024096,0,0,0
8,1,2,0,0.001389854,0,0,0.000694927,0,0.08895066,0.034746352,0,0,0,0,0.002779708,0.027797081,0,0,0,0.667129951,0,0,0,0,0,0.050729673,0,0,0,0,0,0,0,0,0.086865879,0.029186935,0.000694927,0,0.002084781,0.005559416,0.000694927,0,0,0
8,2,2,0,0.001639344,0,0,0,0,0.026229508,0,0,0,0,0,0.005737705,0,0,0,0.000819672,0.786885246,0,0,0,0.004918033,0,0.001639344,0,0,0,0,0.004098361,0,0,0,0.120491803,0.023770492,0,0,0,0.004918033,0.004098361,0,0,0
8,3,2,0,0.000807754,0,0,0,0,0.012924071,0.026655897,0,0,0,0,0.001615509,0.000807754,0,0,0,0.775444265,0,0,0,0,0.001615509,0.092891761,0,0,0.000807754,0,0,0,0,0,0.049273021,0.024232633,0.002423263,0,0,0.010500808,0,0,0,0
8,4,2,0,0.00156128,0,0,0,0,0.12490242,0,0,0,0,0,0,0.00234192,0,0,0,0.74941452,0,0,0,0,0,0.00078064,0,0,0,0,0.007806401,0,0,0,0.074160812,0.017174083,0.00156128,0,0,0,0.00078064,0,0,0
9,1,2,0,0.000708717,0,0,0,0,0.226789511,0,0,0,0,0,0.002126152,0.007087172,0,0,0,0.680368533,0,0,0,0.005669738,0,0.071580439,0,0,0,0,0,0,0,0,0,0,0,0.004961021,0,0,0.000708717,0,0,0
9,2,2,0,0.001013171,0.002026342,0,0,0,0.01621074,0,0.002026342,0,0,0,0.004052685,0.001013171,0,0,0,0.972644377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3,2,0,0.006042296,0.012084592,0.001510574,0.075528701,0,0,0,0,0,0,0,0.024169184,0,0,0,0,0.725075529,0,0.003021148,0,0,0.001510574,0.095166163,0,0,0.013595166,0,0.001510574,0,0.018126888,0,0,0,0,0,0.013595166,0,0.004531722,0,0,0
9,4,2,0,0.001064963,0.001064963,0,0,0,0,0,0,0,0,0,0.033013845,0.003194888,0,0,0,0.766773163,0,0,0,0,0,0,0,0,0,0,0.001064963,0,0,0,0.143769968,0.041533546,0,0.002129925,0,0,0,0,0,0
10,1,2,0,0,0,0,0,0,0.162162162,0,0,0.000675676,0,0,0.037837838,0.011486486,0,0,0,0.648648649,0.002027027,0,0,0.012837838,0,0.031081081,0,0,0.004054054,0,0,0,0,0,0.030405405,0.024324324,0.002027027,0,0.000675676,0.00472973,0.000675676,0,0,0
10,2,2,0,0,0.002599653,0,0.000866551,0,0.06932409,0,0,0,0,0,0.000866551,0.004332756,0,0,0,0.831889081,0,0,0,0.003466205,0.002599653,0.005199307,0,0,0,0,0.002599653,0,0,0,0.063258232,0.011265165,0,0,0.001733102,0,0,0,0,0
10,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.607594937,0.265822785,0,0,0,0.025316456,0,0,0,0
10,4,2,0,0.002581756,0,0,0,0,0.068846816,0,0,0,0,0,0.008605852,0.005163511,0,0,0,0.82616179,0,0,0,0.01979346,0,0,0,0,0,0,0.006024096,0,0,0.00172117,0.026678141,0.024956971,0.002581756,0,0,0,0.00172117,0,0,0
11,1,2,0,0.003475239,0,0,0,0,0.013900956,0.023457863,0,0,0,0,0.015638575,0.010425717,0,0,0,0.834057341,0,0,0,0,0.006081668,0.00086881,0,0,0.00086881,0,0.001737619,0,0,0,0.002606429,0.075586447,0,0,0,0,0.00086881,0,0,0
11,2,2,0,0,0,0,0,0,0.013104013,0,0,0,0.003276003,0,0.004095004,0.007371007,0,0,0,0.786240786,0,0,0,0,0.004914005,0,0,0,0,0,0.001638002,0,0,0,0.012285012,0.051597052,0,0,0,0,0,0,0,0
11,3,2,0,0,0,0,0,0,0.084084084,0.045795796,0,0,0,0,0.006756757,0,0,0,0,0.720720721,0,0,0,0,0.014264264,0.054054054,0,0,0.000750751,0,0,0,0,0,0.013513514,0.053303303,0.003003003,0,0,0.003753754,0,0,0,0
11,4,2,0,0.002604167,0,0,0,0,0.041666667,0.0078125,0,0,0,0,0,0,0,0,0,0.833333333,0,0,0,0,0.001736111,0.0390625,0,0,0,0,0,0,0,0,0.022569444,0.044270833,0.006076389,0,0,0,0,0,0.000868056,0
12,1,2,0,0.010540184,0,0,0.015810277,0,0.210803689,0,0.002635046,0,0,0,0.043478261,0.048748353,0,0.034255599,0.003952569,0.18972332,0,0.005270092,0,0,0.032938076,0.100131752,0,0,0.046113307,0,0,0,0,0,0.127799736,0.059288538,0.001317523,0,0,0.0171278,0,0,0,0.010540184
12,2,2,0,0.003996004,0,0.000999001,0,0,0.015984016,0,0.001998002,0.000999001,0,0,0.032967033,0.004995005,0,0,0.002997003,0.719280719,0,0.012987013,0,0.004995005,0.006993007,0.008991009,0,0,0.013986014,0,0.004995005,0,0,0,0.035964036,0.046953047,0.000999001,0,0.000999001,0.003996004,0.001998002,0,0.007992008,0.004995005
12,3,2,0,0.004750594,0,0,0,0,0.009501188,0.01543943,0.003562945,0,0,0,0.055819477,0.021377672,0,0.002375297,0,0.399049881,0.003562945,0,0,0.017814727,0.058194774,0.1152019,0,0,0,0.003562945,0,0.032066508,0,0,0.06888361,0.059382423,0,0,0.005938242,0.034441805,0.003562945,0.002375297,0,0
12,4,2,0,0.003169572,0,0,0,0,0.063391442,0,0,0,0,0,0.003961965,0,0,0,0,0.760697306,0,0,0,0,0.024564184,0.000792393,0,0,0,0,0.003961965,0,0,0,0.029318542,0.067353407,0.003961965,0.003961965,0,0.025356577,0,0,0,0
13,1,2,0,0.003398471,0.000849618,0,0,0,0.013593883,0,0,0,0,0,0.079864061,0.005097706,0.081563297,0,0,0.611724724,0.005097706,0,0,0.006796941,0.022090059,0.021240442,0,0,0,0.004248088,0.005947324,0,0,0,0.043330501,0.069668649,0.000849618,0,0.015293118,0.008496177,0.000849618,0,0,0
13,2,2,0,0.002053388,0,0,0.005646817,0,0.041067762,0,0,0,0,0,0.063655031,0,0.328542094,0,0,0.369609856,0,0,0,0.003080082,0.010780287,0.089835729,0,0,0,0.000513347,0.004106776,0.002566735,0,0,0.006160164,0.059548255,0.000513347,0,0,0.007186858,0.001540041,0,0,0.003080082
13,3,2,0,0.003659652,0,0,0,0,0.073193047,0,0,0,0,0.014638609,0.000914913,0.002744739,0.058554437,0.002744739,0,0.65873742,0,0,0,0.020128088,0,0.05946935,0,0,0,0.001829826,0.004574565,0.005489478,0,0,0.013723696,0.067703568,0.001829826,0,0,0.007319305,0.000914913,0,0,0
13,4,2,0,0,0,0.000637755,0.00127551,0.00127551,0,0,0,0,0,0.051020408,0.058673469,0.001913265,0.102040816,0,0,0.459183673,0,0.000637755,0,0.039540816,0.005739796,0.011479592,0,0,0.001913265,0,0.005739796,0.001913265,0,0,0.042091837,0.007653061,0.001913265,0,0,0,0.000637755,0,0,0
14,1,2,0,0.00592154,0,0,0,0,0,0,0,0,0,0,0.00592154,0,0.355292376,0,0.001480385,0.355292376,0,0,0,0.000740192,0.03034789,0.001480385,0,0,0.087342709,0,0.00296077,0.000740192,0.000740192,0,0.00592154,0.115470022,0,0,0,0.001480385,0.001480385,0,0,0
14,2,2,0,0,0,0,0,0,0.050729233,0.027266963,0,0,0.000634115,0,0.008877616,0.012682308,0.304375396,0,0,0.456563094,0,0,0,0,0.000634115,0.105897273,0,0,0.000634115,0.003804692,0.002536462,0,0,0,0.003804692,0.014584654,0,0,0,0.001902346,0.001268231,0,0,0
14,3,2,0,0.003194888,0,0,0,0,0.063897764,0,0,0,0,0,0.034345048,0.002396166,0.127795527,0.002396166,0,0.575079872,0,0,0,0.029552716,0.026357827,0.004792332,0.002396166,0,0,0.000798722,0.028753994,0,0,0,0.002396166,0.049520767,0,0.000798722,0,0,0.006389776,0,0,0
14,4,2,0,0.002886003,0,0.001443001,0,0,0.046176046,0,0,0,0,0,0.041125541,0.002886003,0.346320346,0,0,0.346320346,0.013708514,0.012987013,0,0.014430014,0.003607504,0.084415584,0,0,0,0,0,0,0,0,0.035353535,0.022366522,0.000721501,0,0.001443001,0.022366522,0.001443001,0,0,0
